Timestamp,TotalTime(s),Throughput,MinWait,MaxWait,AvgWait,StdWait,MinTAT,MaxTAT,AvgTAT,StdTAT
1740576787981,2.13,47.06,1,2070,954.06,577.22,62,2124,1011.61,576.59
1740576790279,2.30,43.52,0,2247,973.11,599.53,57,2298,1029.74,597.15
1740576792368,2.08,47.98,0,2007,920.62,549.58,52,2084,976.49,548.83
1740576794562,2.19,45.62,0,2135,926.63,601.19,52,2192,981.23,602.37
1740576796498,1.94,51.65,0,1876,902.25,536.78,54,1936,957.52,536.13
1740576798579,2.08,48.05,0,2025,898.62,561.93,52,2081,953.25,562.75
1740576800634,2.05,48.69,0,2002,887.24,536.73,53,2054,941.38,536.60
1740576802853,2.22,45.07,0,2161,946.71,581.75,56,2219,1002.43,580.34
1740576804777,1.92,51.98,0,1865,893.87,531.15,53,1924,948.74,530.71
1740576806788,2.01,49.73,0,1954,884.96,536.64,54,2011,939.37,536.75
1740576808834,2.05,48.88,0,1991,915.50,559.84,54,2046,970.86,559.44
1740576810954,2.12,47.17,0,2062,903.95,554.03,53,2120,959.72,554.77
1740576813081,2.13,47.01,0,2075,931.03,566.35,54,2127,987.03,565.58
1740576815456,2.38,42.11,0,2314,940.91,599.34,54,2375,996.37,598.81
1740576817796,2.34,42.74,0,2280,940.52,582.96,63,2340,995.94,582.02
1740576819831,2.03,49.16,0,1978,900.91,538.37,53,2034,955.89,537.72
1740576821900,2.07,48.33,2,2017,899.98,536.70,67,2069,954.40,535.80
1740576824126,2.23,44.94,0,2172,924.16,576.34,54,2225,980.08,576.31
1740576826228,2.10,47.60,0,2044,890.65,551.65,52,2101,945.82,553.28
1740576828514,2.29,43.74,0,2235,923.32,586.08,53,2286,977.95,585.57
1740576830493,1.98,50.53,0,1922,892.64,541.38,52,1979,947.53,541.67
1740576832459,1.97,50.86,0,1908,890.26,527.80,58,1966,944.76,527.17
1740576834682,2.22,45.02,0,2167,954.38,579.71,58,2221,1011.75,578.37
1740576836606,1.92,51.98,0,1870,887.77,538.00,52,1924,942.81,538.44
1740576838591,1.99,50.38,0,1928,912.80,548.01,53,1985,969.29,548.37
1740576840846,2.26,44.35,0,2198,958.47,624.44,53,2255,1013.38,624.87
1740576842961,2.12,47.28,0,2043,900.27,550.82,52,2115,955.93,551.79
1740576844964,2.00,49.93,0,1948,910.29,542.22,53,2003,965.94,541.66
1740576847158,2.19,45.58,0,2131,901.50,559.45,57,2194,956.64,560.17
1740576849228,2.07,48.36,0,2013,919.64,547.08,57,2068,975.32,545.97
1740576851423,2.20,45.56,1,2145,933.78,577.86,60,2195,988.79,576.65
1740576853742,2.32,43.14,0,2253,957.64,621.84,53,2318,1016.21,625.31
1740576856243,2.50,39.98,0,2436,1061.83,654.67,65,2501,1125.94,654.43
1740576858567,2.32,43.03,0,2269,1043.86,621.06,65,2324,1104.64,616.39
1740576860551,1.98,50.40,0,1918,890.19,536.95,53,1984,945.18,537.65
1740576863071,2.52,39.68,0,2466,947.61,644.95,57,2520,1002.01,645.76
1740576865042,1.97,50.74,0,1914,926.13,550.89,53,1971,982.62,549.99
1740576866877,1.84,54.50,0,1777,874.99,518.75,55,1835,928.88,518.38
1740576869231,2.35,42.48,0,2300,905.18,593.29,53,2354,959.88,594.94
1740576871201,1.97,50.76,0,1919,896.53,534.76,53,1970,951.32,534.17
1740576873441,2.24,44.64,0,2184,919.37,577.36,54,2240,975.39,577.97
1740576875414,1.97,50.68,0,1921,910.13,543.42,59,1973,966.56,543.84
1740576877311,1.90,52.71,0,1842,892.13,536.91,54,1897,947.84,537.88
1740576879411,2.10,47.62,0,2045,903.37,548.92,53,2100,958.63,549.04
1740576881558,2.15,46.58,0,2097,954.39,606.84,53,2147,1009.66,605.89
1740576883538,1.98,50.51,0,1927,929.36,545.41,57,1980,985.83,543.85
1740576885713,2.17,46.00,0,2122,950.71,581.83,61,2173,1006.68,580.20
1740576887798,2.09,47.96,0,2031,913.90,547.77,56,2085,968.88,546.60
1740576889818,2.02,49.53,0,1963,904.13,543.52,60,2019,960.36,544.38
1740576891861,2.04,48.95,0,1989,921.30,558.31,52,2043,976.64,557.26
