Timestamp,TotalTime(s),Throughput,MinWait,MaxWait,AvgWait,StdWait,MinTAT,MaxTAT,AvgTAT,StdTAT
1740524997150,2.10,47.66,8,2039,930.83,552.45,66,2094,986.87,551.81
1740524999332,2.17,46.04,5,2111,944.04,570.62,68,2172,1000.34,569.87
1740525001377,2.04,49.09,0,1981,927.71,549.94,55,2037,984.03,549.01
1740525003971,2.58,38.77,0,2529,995.73,667.43,58,2579,1052.79,668.14
1740525006235,2.26,44.27,0,2203,939.84,580.66,51,2259,996.44,580.48
1740525008435,2.20,45.48,1,2139,958.08,576.86,67,2199,1015.74,576.20
1740525010607,2.17,46.17,0,2111,969.26,596.01,53,2166,1027.23,595.50
1740525012985,2.37,42.16,0,2306,967.45,606.06,62,2372,1024.89,605.70
1740525015242,2.25,44.48,2,2195,956.38,578.94,65,2248,1013.98,578.31
1740525017464,2.22,45.09,0,2156,927.20,574.76,51,2218,983.91,575.45
1740525019665,2.20,45.48,0,2129,972.86,591.04,59,2199,1031.93,590.93
1740525021971,2.30,43.44,8,2250,969.00,600.28,60,2302,1027.57,600.94
1740525024006,2.03,49.26,0,1978,934.84,568.29,51,2030,991.25,567.46
1740525026145,2.14,46.79,1,2080,924.88,565.02,52,2137,982.25,566.71
1740525028346,2.19,45.60,0,2137,938.11,567.51,54,2193,995.31,567.58
1740525030464,2.12,47.26,1,2044,945.53,561.88,68,2116,1002.94,561.09
1740525032756,2.29,43.71,6,2232,979.69,591.71,62,2288,1038.47,590.93
1740525034874,2.11,47.30,0,2058,953.54,588.36,68,2114,1010.76,588.01
1740525037005,2.13,46.93,0,2072,917.82,566.18,52,2131,975.22,568.27
1740525039412,2.40,41.60,5,2347,987.01,611.04,58,2404,1045.36,610.33
1740525041573,2.16,46.36,0,2095,940.59,562.10,71,2157,998.38,562.60
1740525044229,2.65,37.72,0,2588,1028.46,671.91,55,2651,1089.79,672.97
1740525046467,2.23,44.78,0,2171,1002.25,602.79,57,2233,1064.14,603.23
1740525048837,2.36,42.30,0,2303,1048.06,644.08,59,2364,1110.57,643.95
1740525051302,2.46,40.68,0,2401,1004.38,627.58,57,2458,1064.10,626.92
1740525053699,2.39,41.79,0,2331,1009.22,638.81,57,2393,1070.43,639.93
1740525055803,2.10,47.62,0,2037,1004.26,596.26,59,2099,1065.88,595.71
1740525058037,2.23,44.84,0,2167,1000.84,609.94,57,2230,1062.51,610.78
1740525060172,2.13,46.99,0,2077,977.85,589.88,57,2128,1038.65,590.79
1740525062577,2.40,41.65,2,2334,1015.81,622.75,59,2401,1077.22,622.62
1740525065080,2.50,40.05,0,2435,1049.98,664.00,59,2497,1111.96,664.10
1740525067359,2.28,43.94,0,2212,997.90,608.31,58,2275,1059.01,608.93
1740525069840,2.48,40.37,0,2415,1031.07,644.95,58,2477,1092.75,644.99
1740525072370,2.53,39.59,0,2463,1060.98,676.89,59,2526,1122.75,676.28
1740525074790,2.42,41.41,1,2352,1017.98,626.22,58,2415,1079.54,626.40
1740525077284,2.49,40.16,0,2427,1034.25,645.17,58,2490,1096.37,645.25
1740525079710,2.42,41.32,0,2356,1021.70,631.60,58,2418,1083.37,631.90
1740525082502,2.79,35.87,0,2724,1055.86,705.15,56,2788,1117.24,705.95
1740525085064,2.56,39.09,0,2496,1032.23,649.48,58,2558,1094.33,649.93
1740525087839,2.77,36.08,0,2709,1052.79,706.77,58,2772,1114.10,707.63
1740525090086,2.24,44.58,1,2181,1016.42,615.28,60,2243,1078.52,615.34
1740525092352,2.26,44.21,0,2199,1017.47,607.89,59,2262,1079.89,608.40
1740525095020,2.66,37.61,0,2596,1056.94,682.23,60,2659,1118.90,681.99
1740525097457,2.43,41.12,0,2370,1016.52,628.05,53,2432,1078.58,628.64
1740525099953,2.49,40.11,0,2428,1074.82,695.73,57,2493,1136.96,696.05
1740525102266,2.31,43.31,2,2247,1034.42,625.05,59,2309,1096.29,624.88
1740525104557,2.29,43.73,0,2225,1011.99,618.30,59,2287,1073.64,618.53
1740525106980,2.42,41.36,0,2355,1011.18,623.86,57,2418,1072.80,624.40
1740525109145,2.16,46.27,0,2098,996.08,599.69,57,2161,1057.57,600.11
1740525111373,2.22,44.98,1,2159,1005.90,606.47,59,2223,1067.35,606.55
