Timestamp,TotalTime(s),Throughput,MinWait,MaxWait,AvgWait,StdWait,MinTAT,MaxTAT,AvgTAT,StdTAT
1740523738743,2.02,49.43,4,1966,906.45,540.73,63,2018,962.07,541.29
1740523751037,2.15,46.43,3,2077,916.64,572.39,61,2149,972.49,574.12
1740523785703,2.50,40.00,5,2433,1038.12,650.46,58,2495,1099.97,650.96
1740523796046,2.51,39.92,3,2440,1040.18,641.87,66,2502,1102.42,641.69
1740523806032,2.49,40.21,4,2420,1021.75,634.07,56,2482,1083.40,634.42
1740523809604,2.19,45.62,2,2124,1015.00,602.94,65,2186,1077.03,602.76
1740523816533,2.19,45.75,4,2119,1009.87,602.82,57,2182,1071.75,602.99
1740524026412,2.26,44.31,4,2194,1023.08,611.19,69,2255,1085.30,611.13
1740524029284,2.86,35.00,0,2794,1070.87,728.06,50,2857,1132.42,728.86
1740524031484,2.20,45.56,9,2132,1023.74,608.39,72,2194,1085.94,608.35
1740524033729,2.24,44.62,1,2177,1011.06,614.20,57,2240,1072.91,614.65
1740524036130,2.40,41.70,1,2342,1017.27,625.36,57,2398,1078.72,625.24
1740524038652,2.52,39.70,4,2468,974.12,634.06,66,2519,1031.06,634.33
1740524040746,2.09,47.82,3,2038,936.33,572.40,66,2091,992.68,572.27
1740524042690,1.94,51.52,1,1889,932.55,548.17,56,1941,989.15,546.77
1740524044750,2.06,48.64,6,1986,951.94,563.32,58,2056,1010.14,563.35
1740524047000,2.25,44.50,0,2181,964.30,595.82,66,2246,1023.17,596.31
1740524049338,2.34,42.77,0,2280,964.79,601.13,68,2338,1023.48,601.68
1740524051575,2.23,44.90,0,2172,964.78,595.53,51,2227,1022.77,595.22
1740524053548,1.97,50.84,1,1916,955.99,564.70,62,1967,1013.78,562.80
1740524055532,1.98,50.51,1,1928,956.35,567.94,64,1980,1014.53,566.71
1740524058068,2.54,39.45,1,2469,1003.57,640.50,65,2535,1063.58,641.12
1740524060268,2.20,45.45,6,2135,963.80,576.48,69,2200,1022.73,577.03
1740524062410,2.14,46.75,0,2088,937.62,576.34,54,2139,995.30,577.55
1740524064372,1.96,51.07,0,1903,906.05,543.70,65,1958,961.83,543.75
1740524066460,2.09,47.96,0,2026,900.09,549.20,54,2085,956.11,550.61
1740524068532,2.07,48.31,1,2015,909.72,549.18,56,2070,965.52,549.45
1740524070527,1.99,50.28,1,1933,933.50,550.80,59,1989,990.26,549.63
1740524072560,2.02,49.43,0,1961,929.75,561.68,55,2023,985.91,560.95
1740524074947,2.38,41.98,0,2317,966.08,613.51,53,2382,1024.16,614.24
1740524077050,2.10,47.69,0,2032,937.65,556.14,59,2097,995.13,556.11
1740524079119,2.07,48.36,1,2000,966.11,574.92,67,2067,1024.82,574.25
1740524081373,2.25,44.50,1,2192,953.69,582.43,55,2247,1009.78,581.15
1740524083408,2.03,49.24,1,1977,924.83,559.59,57,2031,981.17,559.31
1740524085530,2.12,47.24,0,2067,921.32,568.50,50,2117,978.61,569.93
1740524087661,2.13,46.99,0,2078,976.21,575.49,56,2128,1035.18,574.44
1740524089706,2.04,49.00,2,1990,921.37,555.60,66,2041,977.94,556.10
1740524091824,2.11,47.30,1,2060,927.13,561.36,59,2114,983.59,561.30
1740524094061,2.23,44.78,1,2164,939.01,583.65,52,2233,995.76,584.60
1740524096272,2.21,45.29,0,2150,945.18,593.85,57,2208,1001.73,594.19
1740524098470,2.19,45.58,0,2142,946.08,571.45,65,2194,1003.71,571.30
1740524100631,2.16,46.38,0,2086,949.36,568.04,51,2156,1007.07,567.45
1740524102827,2.19,45.60,3,2136,946.94,594.07,57,2193,1004.00,594.54
1740524104915,2.08,47.98,0,2021,934.45,566.46,60,2084,992.00,567.34
1740524106981,2.06,48.50,2,1995,954.14,562.78,72,2062,1012.76,562.81
1740524109515,2.53,39.51,0,2467,985.50,644.02,51,2531,1044.12,645.02
1740524111798,2.28,43.82,0,2212,952.35,577.93,51,2282,1009.12,577.67
1740524114074,2.27,43.99,5,2220,948.90,592.64,58,2273,1005.52,592.70
1740524116669,2.59,38.58,0,2538,980.25,653.47,63,2592,1037.11,654.02
1740524118924,2.25,44.39,0,2196,946.96,586.55,69,2253,1003.13,585.77
1740524121185,2.26,44.31,0,2203,935.66,571.81,56,2257,991.93,571.47
1740524123457,2.27,44.11,0,2205,934.71,577.43,59,2267,990.94,577.23
1740524125643,2.18,45.85,0,2128,929.18,567.72,59,2181,986.65,568.85
1740524127730,2.09,47.94,0,2033,942.37,576.14,58,2086,998.63,575.66
1740524129931,2.20,45.52,6,2142,955.08,586.64,67,2197,1012.34,586.95
1740524132337,2.41,41.58,0,2332,958.44,602.78,63,2405,1015.15,602.47
1740524134329,1.99,50.38,1,1934,944.49,573.44,62,1985,1002.75,573.82
